"","ensembl_gene_id","ensembl_gene_id_version.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version.y","external_gene_name","gene_biotype"
"8909","ENSG00000226752","ENSG00000226752.9",558.464096110926,0.721009166004306,0.0928141594165463,7.76831003520103,7.95401814755346e-15,6.33986222702596e-14,"ENSG00000226752.9","CUTALP","transcribed_unitary_pseudogene"
"8910","ENSG00000226777","ENSG00000226777.7",5.54956354468614,4.75291865768487,1.32364074939958,3.59079203314106,0.00032967461543884,0.00100744218104317,"ENSG00000226777.7","FAM30A","lncRNA"
"8911","ENSG00000226798","ENSG00000226798.1",4.71896946440898,4.51248805331461,1.34722847422919,3.34946012471746,0.000809692094238742,0.00234095654570687,"ENSG00000226798.1","","lncRNA"
"8912","ENSG00000226887","ENSG00000226887.7",124.521054571552,0.717759701138636,0.165353496839056,4.3407591303452,1.41991307627802e-05,5.18198441050841e-05,"ENSG00000226887.8","ERVMER34-1","protein_coding"
"8913","ENSG00000226945","ENSG00000226945.1",120.356921670573,-2.00332997056,0.180409480597232,-11.1043497488498,1.19483847969983e-28,1.91225695435497e-27,"ENSG00000226945.1","","processed_pseudogene"
"8914","ENSG00000226947","ENSG00000226947.1",1.87158532244179,-4.5289880863029,1.60364634804005,-2.82418133638889,0.00474015580207806,0.0120174636676759,"ENSG00000226947.1","LCEP4","unprocessed_pseudogene"
"8915","ENSG00000226950","ENSG00000226950.6",746.187095673477,-0.248348943984213,0.079086224214957,-3.14023012793225,0.00168815166272483,0.00463741761051087,"ENSG00000226950.8","DANCR","lncRNA"
"8916","ENSG00000226953","ENSG00000226953.7",7.43168113918533,3.62781666494327,0.985507538589395,3.68116581851413,0.000232169945759728,0.000724904254208003,"ENSG00000226953.8","NCKAP5-AS2","lncRNA"
"8917","ENSG00000226965","ENSG00000226965.1",9.21509493134442,-1.60434990696817,0.624412662786794,-2.56937439386296,0.0101882318743311,0.0241313350341908,"ENSG00000226965.2","","lncRNA"
"8918","ENSG00000227036","ENSG00000227036.6",30.5287761654057,0.93954790381378,0.324972724987235,2.89115926221404,0.00383823556572725,0.00989082071584907,"ENSG00000227036.8","LINC00511","lncRNA"
"8919","ENSG00000227038","ENSG00000227038.3",30.8611530909121,-2.15541139631825,0.355449847671962,-6.06389736958738,1.32861953612318e-09,7.17383655425038e-09,"ENSG00000227038.3","GTF2IP7","transcribed_unprocessed_pseudogene"
"8920","ENSG00000227051","ENSG00000227051.6",2484.75441538122,-0.734277819523177,0.0593153581906028,-12.3792191756419,3.38621132342898e-35,6.86555887815809e-34,"ENSG00000227051.7","C14orf132","protein_coding"
"8921","ENSG00000227057","ENSG00000227057.9",1129.23381216425,-0.169258150299492,0.0688837555664002,-2.4571562468939,0.0140041763426612,0.0321568822836848,"ENSG00000227057.10","WDR46","protein_coding"
"8922","ENSG00000227141","ENSG00000227141.2",8.87069738395704,-1.43597539444509,0.609280221236172,-2.35683901166466,0.0184312353813343,0.041138576504839,"ENSG00000227141.2","","processed_pseudogene"
"8923","ENSG00000227191","ENSG00000227191.8",2.06164029607265,-4.66795100449597,1.57642657021581,-2.96109637625362,0.00306545997913355,0.00805007308337576,"ENSG00000227191.8","TRGC2","TR_C_gene"
"8924","ENSG00000227199","ENSG00000227199.1",16.4884149143188,-2.22219599121717,0.487943960426528,-4.55420329267867,5.25844856227138e-06,2.00933027623216e-05,"ENSG00000227199.1","ST7-AS1","lncRNA"
"8925","ENSG00000227214","ENSG00000227214.2",19.8774885462889,-1.19661162275123,0.408291543609205,-2.93077738562364,0.00338114981909713,0.0088005562110067,"ENSG00000227214.2","HCG15","lncRNA"
"8926","ENSG00000227252","ENSG00000227252.1",28.3765135543865,-1.32968162050956,0.367855831456932,-3.61468136917447,0.000300717236164502,0.000925175112146786,"ENSG00000227252.2","","lncRNA"
"8927","ENSG00000227345","ENSG00000227345.8",1085.06576956027,0.194572184725063,0.0689669568221465,2.82123778821834,0.00478387282293917,0.0121172575701754,"ENSG00000227345.9","PARG","protein_coding"
"8928","ENSG00000227403","ENSG00000227403.1",70.7350862826492,1.34054063174461,0.224455463739995,5.97241256420234,2.33770441865052e-09,1.23176274007096e-08,"ENSG00000227403.2","LINC01806","lncRNA"
"8929","ENSG00000227418","ENSG00000227418.6",1.66526794033259,4.01386042772728,1.61743072900597,2.48162740805233,0.0130783946541544,0.0302494775886529,"ENSG00000227418.6","PCGEM1","lncRNA"
"8930","ENSG00000227533","ENSG00000227533.5",26.6542796494527,-0.926012559825921,0.349219141331455,-2.65166610368306,0.00800957053722086,0.0193877415787334,"ENSG00000227533.6","SLC2A1-AS1","lncRNA"
"8931","ENSG00000227630","ENSG00000227630.3",16.1379494400587,-1.63506468656128,0.470135230238458,-3.4778603716466,0.000505433134066777,0.0015024639378548,"ENSG00000227630.4","LINC01132","lncRNA"
"8932","ENSG00000227640","ENSG00000227640.2",1.85159930158747,-4.51804024722842,1.60552104220953,-2.81406479793666,0.00489193664744276,0.0123656516004736,"ENSG00000227640.3","SOX21-AS1","lncRNA"
"8933","ENSG00000227671","ENSG00000227671.4",582.069790583307,0.634629181364628,0.0929019743703032,6.83117001189903,8.42248437809844e-12,5.38487499210878e-11,"ENSG00000227671.4","ZNF731P","transcribed_unprocessed_pseudogene"
"8934","ENSG00000227733","ENSG00000227733.9",2.65405974740207,-3.95028073418027,1.49895857374496,-2.63535017135996,0.00840505234269632,0.0202657072731621,"ENSG00000227733.10","","lncRNA"
"8935","ENSG00000227811","ENSG00000227811.2",32.7715179014807,-1.86352115854278,0.364076295554357,-5.11849077047246,3.07990306661636e-07,1.34361752045882e-06,"ENSG00000227811.3","INKA2-AS1","lncRNA"
"8936","ENSG00000227825","ENSG00000227825.4",11.0002480823254,3.14340075038601,0.745143086032769,4.21851964985927,2.45911543123878e-05,8.72844829882618e-05,"ENSG00000227825.4","SLC9A7P1","transcribed_processed_pseudogene"
"8937","ENSG00000227855","ENSG00000227855.3",10.5830219474074,1.74636110057801,0.599688014101169,2.91211606621071,0.00358989215920143,0.00930362971456837,"ENSG00000227855.3","DPY19L2P3","transcribed_unprocessed_pseudogene"
"8938","ENSG00000227946","ENSG00000227946.1",41.2646160291613,0.747402924729643,0.281180612912874,2.65808839730082,0.00785852776921607,0.0190449102110046,"ENSG00000227946.1","","lncRNA"
"8939","ENSG00000227986","ENSG00000227986.1",22.6527988375727,1.16773619702724,0.391864157702033,2.97995153186521,0.00288293994864967,0.00760156450750196,"ENSG00000227986.1","TRIM60P18","unprocessed_pseudogene"
"8940","ENSG00000228020","ENSG00000228020.2",1.48106139643716,3.85478081905321,1.66787605871738,2.31119140952091,0.0208222846572877,0.0459365475216072,"ENSG00000228020.2","HNRNPA1P46","processed_pseudogene"
"8941","ENSG00000228175","ENSG00000228175.3",13.9539892457659,-1.86382837695578,0.504329568060245,-3.6956555692827,0.000219320135843268,0.000686806142093521,"ENSG00000228175.3","GEMIN8P4","processed_pseudogene"
"8942","ENSG00000228192","ENSG00000228192.7",24.7564851784419,-1.96227571734171,0.384447444315503,-5.1041455636036,3.32292431727184e-07,1.44567014170619e-06,"ENSG00000228192.8","","lncRNA"
"8943","ENSG00000228223","ENSG00000228223.3",161.681427069506,1.51998495500869,0.156406384993487,9.7181771388168,2.52256801050823e-22,3.0859225306157e-21,"ENSG00000228223.3","HCG11","lncRNA"
"8944","ENSG00000228274","ENSG00000228274.3",12.2460203838215,-2.92859893615402,0.625601774761431,-4.6812510039167,2.85129568307074e-06,1.12346096454019e-05,"ENSG00000228274.4","","lncRNA"
"8945","ENSG00000228288","ENSG00000228288.6",52.2699685878432,-1.61944800149933,0.260131325931253,-6.22550166037027,4.80017570163894e-10,2.67689156988693e-09,"ENSG00000228288.7","PCAT6","lncRNA"
"8946","ENSG00000228300","ENSG00000228300.13",461.457408233516,-0.295597705908214,0.100390060148105,-2.94449177012265,0.00323485549562442,0.00845635897646675,"ENSG00000228300.14","FAM174C","protein_coding"
"8947","ENSG00000228352","ENSG00000228352.2",2.25955301087621,-3.70196014932758,1.51700093946206,-2.44031500114978,0.0146744599205,0.0335437752079444,"ENSG00000228352.2","","lncRNA"
"8948","ENSG00000228474","ENSG00000228474.5",2015.56887174002,-0.562134965366265,0.0710532894079295,-7.91145589529217,2.54396068792139e-15,2.09134611648841e-14,"ENSG00000228474.6","OST4","protein_coding"
"8949","ENSG00000228486","ENSG00000228486.10",65.911405519587,0.826017925545889,0.236505801353563,3.49259054458051,0.000478359389521914,0.00142751162594328,"ENSG00000228486.10","C2orf92","protein_coding"
"8950","ENSG00000228544","ENSG00000228544.1",161.798232644287,-0.694513989165456,0.14628239552175,-4.74776193463549,2.05679928778565e-06,8.24423221906448e-06,"ENSG00000228544.1","CCDC183-AS1","lncRNA"
"8951","ENSG00000228549","ENSG00000228549.3",5.78887387981341,-3.23264010911018,0.944529844015088,-3.42248593794411,0.00062051307367423,0.00182216884924624,"ENSG00000228549.5","","lncRNA"
"8952","ENSG00000228594","ENSG00000228594.3",754.094647205123,-0.680777441610344,0.0782079179732853,-8.70471250548938,3.18380768394432e-18,3.11277675274346e-17,"ENSG00000228594.4","FNDC10","protein_coding"
"8953","ENSG00000228613","ENSG00000228613.1",71.2106360389395,1.28493665401706,0.239730641572691,5.35991830492574,8.32595943293696e-08,3.83673170970902e-07,"ENSG00000228613.1","","lncRNA"
"8954","ENSG00000228623","ENSG00000228623.5",4.61976185334253,4.46718335469814,1.34862868892619,3.31238938588429,0.000925026979903847,0.00264554864165204,"ENSG00000228623.6","ZNF883","transcribed_unprocessed_pseudogene"
"8955","ENSG00000228630","ENSG00000228630.5",42.3200463773112,2.07173613819603,0.321367293333368,6.44663032353741,1.14364279975447e-10,6.71752198856328e-10,"ENSG00000228630.5","HOTAIR","lncRNA"
"8956","ENSG00000228649","ENSG00000228649.8",34.6995338883304,-2.13784164645467,0.330216828215885,-6.47405420857902,9.54076473578926e-11,5.63684990839014e-10,"ENSG00000228649.9","SNHG26","lncRNA"
"8957","ENSG00000228672","ENSG00000228672.3",22.4496312248119,2.82028245747099,0.484836300289526,5.81697875300762,5.99207547673863e-09,3.04764871517376e-08,"ENSG00000228672.4","PROB1","protein_coding"
"8958","ENSG00000228701","ENSG00000228701.1",30.0572669067678,-1.66327909291083,0.338451451721466,-4.91438014064025,8.90637922162244e-07,3.70743856080327e-06,"ENSG00000228701.2","TNKS2-AS1","lncRNA"
"8959","ENSG00000228716","ENSG00000228716.6",832.690075030819,0.287507667235014,0.0788077269844724,3.6482167198105,0.000264066850031467,0.000818070722989219,"ENSG00000228716.7","DHFR","protein_coding"
"8960","ENSG00000228775","ENSG00000228775.7",25.8461857190471,-1.19518552006985,0.37380979113385,-3.19730929584425,0.00138716100488787,0.00386060486195946,"ENSG00000228775.8","WEE2-AS1","lncRNA"
"8961","ENSG00000228794","ENSG00000228794.8",198.818937377077,-0.42023714311508,0.131328921172232,-3.19988270187614,0.00137483527895726,0.00382725809430368,"ENSG00000228794.10","LINC01128","lncRNA"
"8962","ENSG00000228819","ENSG00000228819.1",3.31129358623475,-3.43874862735668,1.32203164464049,-2.60110916504712,0.00929228794950985,0.0221981880386295,"ENSG00000228819.1","AGKP2","processed_pseudogene"
"8963","ENSG00000228873","ENSG00000228873.1",1.8508344108208,4.15788595680782,1.59161411650742,2.61237062029315,0.00899167186950151,0.0215471043228033,"ENSG00000228873.1","","lncRNA"
"8964","ENSG00000228878","ENSG00000228878.7",23.238028469239,0.950497181538814,0.378828450470151,2.50904381748304,0.0121058466670832,0.0282228881037393,"ENSG00000228878.8","SEPTIN7-DT","lncRNA"
"8965","ENSG00000228887","ENSG00000228887.3",14.370394007873,-1.34345150711707,0.499875269617155,-2.68757345836691,0.00719732694568828,0.0175783754761286,"ENSG00000228887.3","EEF1DP1","processed_pseudogene"
"8966","ENSG00000228903","ENSG00000228903.7",62.1151424921339,-1.12929403422961,0.24344420118893,-4.63882084154962,3.5040263798749e-06,1.36733804152103e-05,"ENSG00000228903.7","RASA4CP","transcribed_unprocessed_pseudogene"
"8967","ENSG00000228933","ENSG00000228933.7",1.47859171467927,3.82189189717311,1.67635947049651,2.27987610320902,0.0226150377308645,0.0493439155115659,"ENSG00000228933.8","","lncRNA"
"8968","ENSG00000229043","ENSG00000229043.2",243.468744102274,-0.430529679374571,0.124084130593558,-3.46965947470581,0.000521118598767244,0.00154620048590649,"ENSG00000229043.3","ZFAND2A-DT","lncRNA"
"8969","ENSG00000229124","ENSG00000229124.6",8.32668184754502,-2.99631056170043,0.756681777939901,-3.95980271899506,7.50117044673775e-05,0.000250511635891503,"ENSG00000229124.7","VIM-AS1","lncRNA"
"8970","ENSG00000229251","ENSG00000229251.3",1.65748585829764,-4.36037207219239,1.66636492897669,-2.61669697697615,0.00887851209421515,0.0212978835949203,"ENSG00000229251.3","HNRNPA1P8","processed_pseudogene"
"8971","ENSG00000229278","ENSG00000229278.1",9.40807779257969,-2.09472118121581,0.630189342123204,-3.32395526423595,0.000887504314078708,0.00254510125467219,"ENSG00000229278.2","","lncRNA"
